statistic,test,age_group,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019,Jan-2020,Feb-2020,Mar-2020,Apr-2020
count,AST_all_tests,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_all_tests,3wks-5y,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
count,AST_all_tests,6-10y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_all_tests,11-16y,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_all_tests,17-30y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_all_tests,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_all_tests,51-70y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_all_tests,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_all_tests,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_all_tests,3wks-5y,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
mean,AST_all_tests,6-10y,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_all_tests,11-16y,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_all_tests,17-30y,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_all_tests,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_all_tests,51-70y,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_all_tests,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_all_tests,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_all_tests,3wks-5y,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_all_tests,6-10y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_all_tests,11-16y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_all_tests,17-30y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_all_tests,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_all_tests,51-70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_all_tests,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_2x_normal,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_2x_normal,3wks-5y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_2x_normal,6-10y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_2x_normal,11-16y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_2x_normal,17-30y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_2x_normal,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_2x_normal,51-70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,AST_2x_normal,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_2x_normal,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_2x_normal,3wks-5y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_2x_normal,6-10y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_2x_normal,11-16y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_2x_normal,17-30y,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_2x_normal,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_2x_normal,51-70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,AST_2x_normal,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_2x_normal,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_2x_normal,3wks-5y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_2x_normal,6-10y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_2x_normal,11-16y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_2x_normal,17-30y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_2x_normal,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_2x_normal,51-70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,AST_2x_normal,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_all_tests,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_all_tests,3wks-5y,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
count,ALT_all_tests,6-10y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_all_tests,11-16y,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_all_tests,17-30y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_all_tests,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_all_tests,51-70y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_all_tests,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_all_tests,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_all_tests,3wks-5y,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
mean,ALT_all_tests,6-10y,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_all_tests,11-16y,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_all_tests,17-30y,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_all_tests,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_all_tests,51-70y,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_all_tests,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_all_tests,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_all_tests,3wks-5y,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_all_tests,6-10y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_all_tests,11-16y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_all_tests,17-30y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_all_tests,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_all_tests,51-70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_all_tests,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_2x_normal,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_2x_normal,3wks-5y,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_2x_normal,6-10y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_2x_normal,11-16y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_2x_normal,17-30y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_2x_normal,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_2x_normal,51-70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,ALT_2x_normal,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_2x_normal,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_2x_normal,3wks-5y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_2x_normal,6-10y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_2x_normal,11-16y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_2x_normal,17-30y,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_2x_normal,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_2x_normal,51-70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,ALT_2x_normal,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_2x_normal,<3wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_2x_normal,3wks-5y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_2x_normal,6-10y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_2x_normal,11-16y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_2x_normal,17-30y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_2x_normal,31-50y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_2x_normal,51-70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,ALT_2x_normal,>70y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
